"Black sweatshirt featuring abstract instrument comb",P,Y,"by product",42,20.39,0,"Black sweatshirt featuring abstract instrument combo",01184XXL,633076127762,01184XXL.jpg
"Musical Necktie with Mulitple Colorful G-Clef",P,Y,"by product",361,2,0,"Musical Necktie with Mulitple Colorful G-Clef",01214,633076101922,01214.jpg
"Steven Harris Tie - Guitar Assortmen",P,Y,"by product",361,9.89,0,"This CMC Guitar Assortment Tie features a great guitar design and is hand made with 100% polyester. Will make a perfect gift for the guitar-lovers in your life.",01234,633076129063,01234.jpg
"Steven Harris Tie - Red Drumse",P,Y,"by product",361,9.89,0,"This CMC Red Drumset Tie features a great drumset design and is hand made with 100% polyester. Will make a perfect gift for the drummers in your life.",01236,633076129070,01236.jpg
"Dave the Cat Tie - Guitar Fretboar",P,Y,"by product",361,15.5,0,"This CMC Guitar Fretboard Tie features a great guitar design and is hand made with 100% silk. Will make a perfect gift for the guitar-lovers in your life.",01305,633076113826,01305.jpg
"Steven Harris Tie - Music Staf",P,Y,"by product",361,10.79,0,"This CMC Music Staff Tie features a great music-themed design and is hand made with 100% polyester. Will make a perfect gift for the music-lovers in your life.",01325,633076114458,01325.jpg
"100% Silk Necktie with ""Grand!"" Grand Pianos Black on Dusty Ros",P,Y,"by product",361,2,0,"100% Silk Necktie with &quot;Grand!&quot; Grand Pianos Black on Dusty Ros",01377,633076101908,01377.jpg
"100% Silk Necktie with ""Grand!"" Grand Pianos Black on Slate Blu",P,Y,"by product",361,2,0,"100% Silk Necktie with &quot;Grand!&quot; Grand Pianos Black on Slate Blu",01378,633076101960,01378.jpg
"100% Silk Necktie with ""Grand!"" Grand Pianos Black on Sag",P,Y,"by product",361,2,0,"100% Silk Necktie with &quot;Grand!&quot; Grand Pianos Black on Sag",01379,633076101977,01379.jpg
"CMC Baseball Cap ""Play It!"" - Green and Gol",P,Y,"by product",361,4.79,0,"This CMC &amp;quot;Play It!&amp;quot; Baseball Cap features a stylish music-themed message and design offering a great gift idea for the music-lovers in your life.",01404,633076100314,01404.jpg
"CMC Baseball Cap ""Play It!"" - Black and Gol",P,Y,"by product",42,4.79,0,"This CMC &amp;quot;Play It!&amp;quot; Baseball Cap features a stylish music-themed message and design offering a great gift idea for the music-lovers in your life.",01405,633076100345,01405.jpg
"CMC Baseball Cap ""Play It!"" - Black and Re",P,Y,"by product",42,4.79,0,"This CMC &amp;quot;Play It!&amp;quot; Baseball Cap features a stylish music-themed message and design offering a great gift idea for the music-lovers in your life.",01407,633076100369,01407.jpg
"CMC Baseball Cap ""got music?"" - Blac",P,Y,"by product",361,12.99,0,"This black CMC &amp;quot;got music?&amp;quot; Baseball Cap features a stylish music-themed message and design offering a great gift idea for the music-lovers in your life.",01422,633076129612,01422.jpg
"Classics Memo Pad Holder with Violin Paperweigh",P,Y,"by product",42,4.79,0,"Classic pillar base with pad of paper and a violin and sheet music paperweight; felt bottom to protect desk.",02541,633076500398,02541.jpg
"Classics Business Card Holde",P,Y,"by product",42,4.79,0,"Classic pillar base with violin, sheet music, and scroll; felt bottom to protect desk.",02542,633076100192,02542.jpg
"Classics Pen Holder with Violin on Fron",P,Y,"by product",42,5.99,0,"Classic pillar pen holder with violin and sheet music on front; ideal paper weight; felt bottom to protect desk.",02545,633076100161,02545.jpg
"Classics Candle Holder with Violin on Fron",P,Y,"by product",42,5.99,0,"Classic pillar votive candle holder with violin and sheet music on front; ideal paper weight; felt bottom to protect desk.",02546,633076100154,02546.jpg
"Classics photo frame with violin on to",P,Y,"by product",42,7.49,0,"Classics photo frame in the shape of a scroll with violin and sheet music on top",02547,633076100147,02547.jpg
"Classics Trinket Box with Violin on the Li",P,Y,"by product",42,5.99,0,"Classics pillar base with violin and sheet music on lid; ideal paper weight; felt bottom to protect desk.",02548,633076100130,02548.jpg
"Wood frame featuring keyboard and ros",P,Y,"by product",42,9.59,0,"Wood frame featuring keyboard and rose",02560,633076123498,02560.jpg
"Sunsprites suncatcher of instruments and staf",P,Y,"by product",42,5.99,0,"Sunsprites suncatcher of instruments and staff made out of pewter with Austrian Clear Crystal Attached.",02568,633076126543,02568.jpg
"Magnet featuring violin and sheet musi",P,Y,"by product",91,4.79,0,"Pewter magnet featuring violin and sheet music with dangling notes",02569,633076126550,02569.jpg
"Porcelain Picture Frame with Violin and Roses",P,Y,"by product",42,12.69,0,"Porcelain Picture Frame with Violin and Roses",02589,633076100475,02589.jpg
"Porcelain Picture Frame with Trumpet and Roses",P,Y,"by product",42,12.69,0,"Porcelain Picture Frame with Trumpet and Roses",02590,633076100444,02590.jpg
"Porcelain Trinket Box with Violin and Roses",P,Y,"by product",42,9.69,0,"Porcelain Trinket Box with Violin and Roses",02592,633076100468,02592.jpg
"KG&C Suncatcher - Gold & Crystal Cherub With Notes & Staf",P,Y,"by product",42,6.79,0,"This KG&amp;C Suncatcher features a beautiful 24K Gold and Crystal cherub with notes &amp; staff design.  The suction cup allows for easy mounting to the surface of your choice. Perfect gift idea for the music-lovers in your life.",02604,633076129254,02604.jpg
"Angel Playing Harp Table Top Figurine - Gold with Crystals",P,Y,"by product",42,8.95,0,"Add a little fun to your Christmas tree this season, or give them away as meaningful gifts to someone special. These adorable ornaments are perfect for anyone who loves music.",02649,633076501753,02649.jpg
"Angel Playing Horn Table Top Figurine - Gold with Crystals",P,Y,"by product",42,9,0,"Add a little fun to your Christmas tree this season, or give them away as meaningful gifts to someone special. These adorable ornaments are perfect for anyone who loves music.",02650,633076501746,02650.jpg
"Angel with Heart Table Top Figurine - Gold with Crystals",P,Y,"by product",42,9,0,"Add a little fun to your Christmas tree this season, or give them away as meaningful gifts to someone special. These adorable ornaments are perfect for anyone who loves music.",02651,633076501760,02651.jpg
"Small Angel Figurine Music Box with Crystals - Gold",P,Y,"by product",361,18.95,0,"Add a little fun to your Christmas tree this season, or give them away as meaningful gifts to someone special. These adorable ornaments are perfect for anyone who loves music.",02653,633076501708,02653.jpg
"CMC Magnet -Floating Keyboar",P,Y,"by product",42,0.89,0,"This CMC Floating Keyboard Magnet features a fun music-themed design.  Perfect gift idea for the music-lovers in your life.",03200,633076105432,03200.jpg
"CMC Ceramic Mug - Notes Desig",P,Y,"by product",42,13.99,0,"This white CMC Notes Design ceramic mug features a fun and witty music-themed message.  Perfect gift idea for the music-lovers in your life.         &quot;&gt;
       This white CMC Notes Design ceramic mug features a fun and witty music-themed message.  Perfect gift idea for the music-lovers in your life.",03339,633076109256,03339.jpg
"CMC ""ADJUST YOUR MOOD"" MAGNET FRAM",P,Y,"by product",91,1.19,0,"This &quot;Get in the Mood for Music&quot; magnet allows you to interactively select your &quot;music mood&quot; of the day.  Examples include &quot;composed&quot;, &quot;blue&quot;, &quot;transposed&quot;, and &quot;strung out&quot;.  Let those around you know how you're feeling and have fun at the same time with this comical and creative music magnet.",03349,633076127885,03349.jpg
"CMC Magnet - Music is Timeles",P,Y,"by product",91,0.89,0,"This colorful CMC &quot;Music is Timeless&quot; Magnet features a groovy music-themed design. Perfect gift idea for the music-lovers in your life.",03375,633076127854,03375.jpg
"Guitar Shaped Thermometer Fridge Magnet - Assorted 12 Pac",P,Y,"by product",42,12,0,"Guitar Shaped Thermometer Fridge Magnet - Assorted 12 Pac",03376,633076132315,03376.jpg
"Dava Master Control Nickel Silver 24 Picks 0369",P,Y,"by product",91,53.1,0,"Dava Master Control Nickel Silver 24 Picks 0369",0369,676744024093,0369.jpg
"Got Music Digital Watch - Black & Gre",P,Y,"by product",361,12.79,0,"Got Music Digital Watch - Black &amp; Gre",04506,633076128059,04506.jpg
