Order_ID,Order_Date,Shipment_ID,Shipment_Date,"Tax_Calculated_Date (UTC)",Posted_Date,Transaction_Item_ID,Marketplace,Merchant_ID,Fulfillment,ASIN,SKU,Product_Description,Transaction_Type,Product_Tax_Code,Quantity,Currency,Buyer_Exemption_Code,Buyer_Exemption_Domain,Buyer_Exemption_Certificate_Id,Display_Price,Display_Price_Tax_Inclusive,TaxExclusive_Selling_Price,Total_Tax,Financial_Component,Ship_From_City,Ship_From_State,Ship_From_Country,Ship_From_Postal_Code,Ship_From_Tax_Location_Code,Ship_To_City,Ship_To_State,Ship_To_Country,Ship_To_Postal_Code,Ship_To_Location_Code,Return_FC_City,Return_FC_State,Return_FC_Country,Return_FC_Postal_Code,Return_FC_Tax_Location_Code,Taxed_Location_Code,Tax_Address_Role,Jurisdiction_Level,Jurisdiction_Name,"Tax Marker",Display_Promo_Amount,Display_Promo_Tax_Inclusive,Is_Customer_3P_Funding_Aware,isPromoApplied,postPromoTaxableBasis,prePromoTaxableBasis,Promo_Amount_Basis,Promo_ID_Domain,promoAmountTax,Promotion_Identifier,Promo_Rule_Reason_Code,Promo_Tax_Price_Type,Tax_Amount,Taxed_Jurisdiction_Tax_Rate,Tax_Type,Tax_Calculation_Reason_Code,NonTaxable_Amount,Taxable_Amount,Order_Tax_Amount,Order_NonTaxable_Amount,Order_Taxable_Amount,
115-5943061-8812201,2016-09-30+00:00,DmD13v1bH,2016-10-01+00:00,2016-09-30+20:26:26,2016-10-01+00:00,4873719055908,Amazon.com,A6G7H9DQH5S17,AFN,B00H5XQH20,Z#91/2,,SHIPMENT,A_GEN_TAX,1,USD,,,,21.99,false,21.99,0.00,OUR_PRICE,Kent,WA,US,98032,480330320,Spokane,Wa,US,99224,480630720,,,,,,480630720,ShipTo,State,WA,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,21.99,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,City,SPOKANE,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,21.99,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,County,SPOKANE,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,21.99,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,District,"PUBLIC TRANSPORTATION BENEFIT AREA",X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,21.99,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,District,"SPOKANE COUNTY TOURISM PROMOTION AREA ZONE B",X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,21.99,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,District,"SPOKANE COUNTY TOURISM PROMOTION AREA ZONE D",X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,21.99,0.00,,,,
102-2845150-3383454,2016-09-29+00:00,DLSrYbVcH,2016-10-01+00:00,2016-10-01+10:28:47,2016-10-01+00:00,4709560565123,Amazon.com,A6G7H9DQH5S17,AFN,0887977855,Z34151,,SHIPMENT,A_GEN_TAX,1,USD,,,,14.24,false,14.24,0.00,OUR_PRICE,Whitestown,IN,US,46075,150112129,Monroe,WA,US,98272-7799,480615426,,,,,,480615426,ShipTo,State,WA,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,14.24,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,City,"NOT APPLICABLE",X,,,,,,,,,,,,,0.00,0.0,,ZeroRated,14.24,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,County,SNOHOMISH,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,14.24,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,District,"NOT APPLICABLE",X,,,,,,,,,,,,,0.00,0.0,,ZeroRated,14.24,0.00,,,,
002-8526308-5661814,2016-10-01+00:00,DztR6P1MH,2016-10-01+00:00,2016-10-01+16:12:40,2016-10-01+00:00,4876712325908,Amazon.com,A6G7H9DQH5S17,AFN,B00C3M47XE,Z1101574,,SHIPMENT,A_GEN_TAX,1,USD,,,,24.50,false,24.50,0.00,OUR_PRICE,Kent,WA,US,98032,480330320,SEATTLE,WA,US,98115-2232,480330650,,,,,,480330650,ShipTo,State,WA,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,24.50,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,City,SEATTLE,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,24.50,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,County,KING,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,24.50,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,District,"REGIONAL TRANSIT AUTHORITY",X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,24.50,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,District,"TRANSPORTATION BENEFIT DISTRICT",X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,24.50,0.00,,,,
002-8526308-5661814,2016-10-01+00:00,DztR6P1MH,2016-10-01+00:00,2016-10-01+16:12:40,2016-10-01+00:00,4876712325908,Amazon.com,A6G7H9DQH5S17,AFN,B00C3M47XE,Z1101574,,SHIPMENT,A_GEN_TAX,1,USD,,,,5.99,false,5.99,0.00,SHIPPING,Kent,WA,US,98032,480330320,SEATTLE,WA,US,98115-2232,480330650,,,,,,480330650,ShipTo,State,WA,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,5.99,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,City,SEATTLE,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,5.99,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,County,KING,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,5.99,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,District,"REGIONAL TRANSIT AUTHORITY",X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,5.99,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,District,"TRANSPORTATION BENEFIT DISTRICT",X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,5.99,0.00,,,,
106-2248331-9985839,2016-10-02+00:00,DDDvKR1GH,2016-10-02+00:00,2016-10-02+02:28:10,2016-10-02+00:00,4878665663908,Amazon.com,A6G7H9DQH5S17,AFN,B0064RTUP4,ZB2223/3,,SHIPMENT,A_GEN_TAX,1,USD,,,,15.25,false,15.25,0.00,OUR_PRICE,Kent,WA,US,98032,480330320,SEATTLE,WA,US,98125-5917,480330650,,,,,,480330650,ShipTo,State,WA,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,15.25,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,City,SEATTLE,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,15.25,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,County,KING,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,15.25,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,District,"REGIONAL TRANSIT AUTHORITY",X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,15.25,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,District,"TRANSPORTATION BENEFIT DISTRICT",X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,15.25,0.00,,,,
105-4005554-6589053,2016-10-01+00:00,DzyQlj1wH,2016-10-02+00:00,2016-10-01+22:46:36,2016-10-02+00:00,4877960468908,Amazon.com,A6G7H9DQH5S17,AFN,B0064RTUP4,ZB2223/3,,SHIPMENT,A_GEN_TAX,1,USD,,,,15.25,false,15.25,0.00,OUR_PRICE,Kent,WA,US,98032,480330320,WASHOUGAL,WA,US,98671-6764,480590000,,,,,,480590000,ShipTo,State,WA,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,15.25,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,City,"NOT APPLICABLE",X,,,,,,,,,,,,,0.00,0.0,,ZeroRated,15.25,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,County,SKAMANIA,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,15.25,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,District,"NOT APPLICABLE",X,,,,,,,,,,,,,0.00,0.0,,ZeroRated,15.25,0.00,,,,
113-3716158-9136260,2016-10-02+00:00,DgSkX1chH,2016-10-03+00:00,2016-10-02+21:50:11,2016-10-03+00:00,4484864788906,Amazon.com,A6G7H9DQH5S17,AFN,B003QTM9O2,ZGS1650,,SHIPMENT,A_GEN_TAX,1,USD,,,,15.57,false,15.57,0.00,OUR_PRICE,Tracy,CA,US,95304-9370,470590000,SEATTLE,WA,US,98107-4919,480330650,,,,,,480330650,ShipTo,State,WA,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,15.57,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,City,SEATTLE,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,15.57,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,County,KING,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,15.57,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,District,"REGIONAL TRANSIT AUTHORITY",X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,15.57,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,District,"TRANSPORTATION BENEFIT DISTRICT",X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,15.57,0.00,,,,
110-6931102-6553864,2016-10-02+00:00,DrxHZ14GR,2016-10-03+00:00,2016-10-02+22:01:02,2016-10-03+00:00,907968388919,Amazon.com,A6G7H9DQH5S17,AFN,0849750296,Z121519,,SHIPMENT,A_GEN_TAX,1,USD,,,,11.98,false,11.98,0.00,OUR_PRICE,Etna,OH,US,43062,360890000,SEATTLE,WA,US,98116-1627,480330650,,,,,,480330650,ShipTo,State,WA,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,11.98,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,City,SEATTLE,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,11.98,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,County,KING,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,11.98,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,District,"REGIONAL TRANSIT AUTHORITY",X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,11.98,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,District,"TRANSPORTATION BENEFIT DISTRICT",X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,11.98,0.00,,,,
110-6931102-6553864,2016-10-02+00:00,DrxHZ14GR,2016-10-03+00:00,2016-10-02+22:01:02,2016-10-03+00:00,907968388919,Amazon.com,A6G7H9DQH5S17,AFN,0849750296,Z121519,,SHIPMENT,A_GEN_TAX,1,USD,,,,3.99,false,3.99,0.00,SHIPPING,Etna,OH,US,43062,360890000,SEATTLE,WA,US,98116-1627,480330650,,,,,,480330650,ShipTo,State,WA,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,3.99,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,City,SEATTLE,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,3.99,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,County,KING,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,3.99,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,District,"REGIONAL TRANSIT AUTHORITY",X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,3.99,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,District,"TRANSPORTATION BENEFIT DISTRICT",X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,3.99,0.00,,,,
102-5205116-0323466,2016-10-01+00:00,Dt4Pv9LjH,2016-10-03+00:00,2016-10-03+03:07:20,2016-10-03+00:00,4336182759925,Amazon.com,A6G7H9DQH5S17,AFN,B00A82TY52,ZPAPP,,SHIPMENT,A_GEN_TAX,1,USD,,,,24.99,false,24.99,0.00,OUR_PRICE,Kenosha,WI,US,53144,500590480,"Lake Stevens",WA,US,98258,480611994,,,,,,480611994,ShipTo,State,WA,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,24.99,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,City,"LAKE STEVENS",X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,24.99,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,County,SNOHOMISH,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,24.99,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,District,"PUBLIC TRANSPORTATION BENEFIT AREA",X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,24.99,0.00,,,,
108-2326317-1162600,2016-10-01+00:00,DqFPBy4HN,2016-10-03+00:00,2016-10-01+05:41:55,2016-10-03+00:00,1920725648089,Amazon.com,A6G7H9DQH5S17,MFN,1619280973,1111687,,SHIPMENT,A_GEN_TAX,1,USD,,,,6.26,false,6.26,0.00,OUR_PRICE,"Idaho Falls",ID,US,83402,470590000,Sammamish,WA,US,98074,480332364,,,,,,480332364,ShipTo,State,WA,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,6.26,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,City,SAMMAMISH,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,6.26,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,County,KING,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,6.26,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,District,"REGIONAL TRANSIT AUTHORITY",X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,6.26,0.00,,,,
108-2326317-1162600,2016-10-01+00:00,DqFPBy4HN,2016-10-03+00:00,2016-10-01+05:41:55,2016-10-03+00:00,1920725648089,Amazon.com,A6G7H9DQH5S17,MFN,1619280973,1111687,,SHIPMENT,A_GEN_TAX,1,USD,,,,6.26,false,6.26,0.00,OUR_PRICE,"Idaho Falls",ID,US,83402,470590000,Sammamish,WA,US,98074,480332364,,,,,,480332364,ShipTo,State,WA,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,6.26,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,City,SAMMAMISH,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,6.26,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,County,KING,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,6.26,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,District,"REGIONAL TRANSIT AUTHORITY",X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,6.26,0.00,,,,
108-2326317-1162600,2016-10-01+00:00,DqFPBy4HN,2016-10-03+00:00,2016-10-01+05:41:55,2016-10-03+00:00,1920725648089,Amazon.com,A6G7H9DQH5S17,MFN,1619280973,1111687,,SHIPMENT,A_GEN_TAX,1,USD,,,,3.99,false,3.99,0.00,SHIPPING,"Idaho Falls",ID,US,83402,470590000,Sammamish,WA,US,98074,480332364,,,,,,480332364,ShipTo,State,WA,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,3.99,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,City,SAMMAMISH,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,3.99,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,County,KING,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,3.99,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,District,"REGIONAL TRANSIT AUTHORITY",X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,3.99,0.00,,,,
108-2326317-1162600,2016-10-01+00:00,DqFPBy4HN,2016-10-03+00:00,2016-10-01+05:41:55,2016-10-03+00:00,1920725648089,Amazon.com,A6G7H9DQH5S17,MFN,1619280973,1111687,,SHIPMENT,A_GEN_TAX,1,USD,,,,3.99,false,3.99,0.00,SHIPPING,"Idaho Falls",ID,US,83402,470590000,Sammamish,WA,US,98074,480332364,,,,,,480332364,ShipTo,State,WA,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,3.99,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,City,SAMMAMISH,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,3.99,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,County,KING,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,3.99,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,District,"REGIONAL TRANSIT AUTHORITY",X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,3.99,0.00,,,,
113-4487505-6036262,2016-10-01+00:00,D72pwz4YN,2016-10-03+00:00,2016-10-01+21:24:03,2016-10-03+00:00,1921018892089,Amazon.com,A6G7H9DQH5S17,MFN,B0002HAA42,AJ1,,SHIPMENT,A_GEN_TAX,1,USD,,,,11.81,false,11.81,0.00,OUR_PRICE,"Idaho Falls",ID,US,83402,470590000,RICHLAND,WA,US,99354-2024,480050630,,,,,,480050630,ShipTo,State,WA,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,11.81,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,City,RICHLAND,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,11.81,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,County,BENTON,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,11.81,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,District,"PUBLIC TRANSPORTATION BENEFIT AREA",X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,11.81,0.00,,,,
